2018-05-11T00:50:53Z, 51, NTP, Adjust, -3
2018-05-11T05:24:07Z, 51, NTP, Adjust, -18
2018-05-11T12:47:59Z, 50, NTP, Adjust, 122
2018-05-11T19:03:15Z, 51, NTP, Adjust, -9
2018-05-11T23:36:20Z, 52, NTP, Adjust, -9
2018-05-12T00:53:14Z, 49, NWL, Measmt, -76
2018-05-12T00:53:42Z, 49, NWL, Adjust, -75
2018-05-12T10:11:03Z, 51, NTP, Adjust, 18
2018-05-12T11:05:21Z, 51, NTP, Adjust, 3
2018-05-12T12:47:46Z, 51, NTP, Adjust, -3
2018-05-12T15:20:08Z, 51, NTP, Adjust, 3
2018-05-12T18:51:34Z, 51, NTP, Adjust, -9
2018-05-12T21:08:05Z, 52, NTP, Adjust, -9
2018-05-12T23:24:51Z, 54, NTP, Adjust, -30
2018-05-13T03:51:39Z, 53, NTP, Adjust, 57
2018-05-13T08:24:16Z, 52, NTP, Adjust, -18
2018-05-13T12:57:48Z, 52, NTP, Adjust, -57
2018-05-13T17:30:25Z, 52, NTP, Adjust, 15
2018-05-13T22:03:47Z, 55, NTP, Adjust, 42
2018-05-14T02:36:32Z, 55, NTP, Adjust, -12
2018-05-14T10:18:31Z, 51, NTP, Adjust, 3
2018-05-14T11:43:14Z, 52, NTP, Adjust, 60
2018-05-14T19:39:37Z, 54, NTP, Adjust, -197
2018-05-15T00:11:42Z, 53, NTP, Adjust, 3
2018-05-15T04:44:59Z, 53, NTP, Adjust, 21
2018-05-15T09:04:54Z, 52, NTP, Adjust, 109
2018-05-15T15:01:28Z, 53, NTP, Adjust, -42
2018-05-15T22:43:37Z, 53, NTP, Adjust, 48
2018-05-16T03:16:10Z, 51, NTP, Adjust, 3
2018-05-16T07:49:24Z, 51, NTP, Adjust, -15
2018-05-16T13:46:23Z, 51, NTP, Adjust, 3
2018-05-16T18:19:32Z, 52, NTP, Adjust, 9
2018-05-16T22:52:37Z, 53, NTP, Adjust, -9
2018-05-17T06:34:40Z, 51, NTP, Adjust, -9
2018-05-17T11:07:45Z, 51, NTP, Adjust, 12
2018-05-17T15:40:43Z, 51, NTP, Adjust, 3
2018-05-17T20:14:45Z, 52, NTP, Adjust, -173
2018-05-18T00:46:50Z, 52, NTP, Adjust, 3
2018-05-18T05:20:55Z, 51, NTP, Adjust, 109
2018-05-18T09:53:01Z, 51, NTP, Adjust, -3
2018-05-18T18:59:28Z, 52, NTP, Adjust, -30
2018-05-18T23:32:26Z, 52, NTP, Adjust, 21
2018-05-19T04:06:17Z, 51, NTP, Adjust, 149
2018-05-19T08:07:50Z, 51, NWL, Measmt, -90
2018-05-19T08:08:30Z, 51, NWL, Adjust, -86
2018-05-19T10:03:31Z, 51, NTP, Adjust, -114
2018-05-19T14:35:38Z, 50, NTP, Adjust, 3
2018-05-19T22:18:00Z, 52, NTP, Adjust, -36
2018-05-20T02:50:43Z, 52, NTP, Adjust, 6
2018-05-20T06:23:36Z, 51, NWL, Measmt, 137
2018-05-20T06:24:21Z, 51, NWL, Adjust, 135
2018-05-20T11:57:01Z, 51, NTP, Adjust, 21
2018-05-20T16:29:55Z, 52, NTP, Adjust, -3
2018-05-20T21:03:13Z, 53, NTP, Adjust, -24
2018-05-21T01:36:03Z, 53, NTP, Adjust, 3
2018-05-21T06:09:09Z, 52, NTP, Adjust, 3
2018-05-21T10:43:12Z, 52, NTP, Adjust, -98
2018-05-21T15:15:17Z, 52, NTP, Adjust, -3
2018-05-21T19:49:20Z, 53, NTP, Adjust, 93
2018-05-22T00:21:59Z, 53, NTP, Adjust, 54
2018-05-22T06:18:59Z, 51, NTP, Adjust, -21
2018-05-22T09:27:33Z, 51, NTP, Adjust, -3
2018-05-22T14:00:39Z, 51, NTP, Adjust, 6
2018-05-22T18:33:43Z, 52, NTP, Adjust, 3
2018-05-22T23:07:07Z, 54, NTP, Adjust, -30
2018-05-23T03:39:56Z, 52, NTP, Adjust, -6
2018-05-23T08:12:59Z, 52, NTP, Adjust, 3
2018-05-23T12:46:02Z, 52, NTP, Adjust, 3
2018-05-23T17:19:06Z, 51, NTP, Adjust, -3
2018-05-23T21:52:13Z, 54, NTP, Adjust, -6
2018-05-24T02:25:14Z, 52, NTP, Adjust, -3
2018-05-24T06:58:35Z, 52, NTP, Adjust, 27
2018-05-24T11:31:22Z, 52, NTP, Adjust, 3
2018-05-24T16:19:22Z, 52, NTP, Adjust, -122
2018-05-25T02:35:53Z, 52, NTP, Adjust, 197
2018-05-25T07:08:39Z, 51, NWL, Measmt, -83
2018-05-25T07:09:11Z, 51, NWL, Adjust, -82
2018-05-25T10:17:47Z, 51, NTP, Adjust, -109
2018-05-25T15:03:46Z, 51, NTP, Adjust, 3
2018-05-25T19:37:51Z, 52, NTP, Adjust, 133
2018-05-26T04:44:01Z, 52, NTP, Adjust, -109
2018-05-26T08:07:41Z, 51, NWL, Measmt, 60
2018-05-26T08:08:15Z, 51, NWL, Adjust, 56
2018-05-26T09:02:11Z, 51, NTP, Adjust, -3
2018-05-26T13:35:16Z, 51, NTP, Adjust, 3
2018-05-26T18:08:22Z, 52, NTP, Adjust, 3
2018-05-27T03:14:31Z, 52, NTP, Adjust, -6
2018-05-27T07:47:33Z, 51, NTP, Adjust, -3
2018-05-27T12:20:37Z, 52, NTP, Adjust, 3
2018-05-28T20:52:24Z, 52, NTP, Adjust, -3
2018-05-28T21:26:33Z, 52, NTP, Adjust, -3
2018-05-29T01:25:36Z, 52, NTP, Adjust, 3
2018-05-29T07:07:08Z, 52, NTP, Adjust, -15
2018-05-29T09:23:33Z, 51, NTP, Adjust, 3
2018-05-30T02:03:46Z, 52, NTP, Adjust, 57
2018-05-30T10:25:45Z, 51, NTP, Adjust, -27
2018-05-30T15:42:22Z, 52, NTP, Adjust, 3
2018-05-31T04:37:49Z, 53, NTP, Adjust, -6
2018-05-31T09:10:53Z, 52, NTP, Adjust, 6
2018-05-31T13:43:55Z, 52, NTP, Adjust, 3
2018-05-31T18:17:05Z, 53, NTP, Adjust, -12
2018-05-31T22:50:07Z, 55, NTP, Adjust, -9
2018-06-02T02:08:32Z, 53, NTP, Adjust, 3
2018-06-02T12:26:19Z, 52, NTP, Adjust, -3
2018-06-02T13:34:25Z, 52, NTP, Adjust, -3
2018-06-02T14:08:34Z, 52, NTP, Adjust, 3
2018-06-02T15:16:49Z, 51, NTP, Adjust, 3
2018-06-02T16:25:06Z, 52, NTP, Adjust, 3
2018-06-02T17:33:22Z, 52, NTP, Adjust, 3
2018-06-02T21:10:15Z, 53, NTP, Adjust, -27
2018-06-02T23:14:42Z, 53, NTP, Adjust, -3
2018-06-03T01:31:15Z, 53, NTP, Adjust, -3
2018-06-03T08:21:51Z, 52, NTP, Adjust, 114
2018-06-03T08:41:35Z, 51, NWL, Measmt, -73
2018-06-03T08:42:13Z, 51, NWL, Adjust, -71
2018-06-03T12:53:58Z, 51, NTP, Adjust, 3
2018-06-03T17:28:01Z, 52, NTP, Adjust, -101
2018-06-03T22:00:05Z, 53, NTP, Adjust, -3
2018-06-04T02:34:08Z, 53, NTP, Adjust, 197
2018-06-04T07:06:13Z, 52, NTP, Adjust, 3
2018-06-04T07:36:17Z, 52, NWL, Measmt, -82
2018-06-04T07:37:06Z, 52, NWL, Adjust, -78
2018-06-04T11:40:16Z, 52, NTP, Adjust, -109
2018-06-04T16:12:19Z, 51, NTP, Adjust, -3
2018-06-04T20:45:28Z, 54, NTP, Adjust, 9
